parent_metro_region,year,median_sale_price,median_list_price,homes_sold,new_listings,inventory,avg_sale_to_list,sold_above_list
"Sulphur Springs, TX",2012,90402.04166666667,110417.91666666667,21.166666666666668,37.0,174.41666666666666,0.9295975498540288,0.07437350052481628
"Sulphur Springs, TX",2013,112647.91666666667,114225.0,22.833333333333332,34.333333333333336,148.41666666666666,0.9363026682454625,0.06157797273801769
"Sulphur Springs, TX",2014,114654.16666666667,127087.5,23.916666666666668,36.166666666666664,150.08333333333334,0.9406716024372251,0.08118867475273829
"Sulphur Springs, TX",2015,125637.5,129733.33333333333,26.333333333333332,34.083333333333336,110.33333333333333,0.9527773874779211,0.11775717341279951
"Sulphur Springs, TX",2016,122768.75,149729.16666666666,21.583333333333332,29.583333333333332,110.91666666666667,0.9566698068383267,0.09843917391518009
"Sulphur Springs, TX",2017,146158.33333333334,164325.0,24.833333333333332,34.25,117.08333333333333,0.9517635974962366,0.08886114195185224
"Sulphur Springs, TX",2018,141037.5,158983.33333333334,24.333333333333332,31.333333333333332,94.91666666666667,0.9600618610770278,0.12000523422937213
"Sulphur Springs, TX",2019,165841.66666666666,188021.25,22.416666666666668,29.083333333333332,84.91666666666667,0.9617430446221129,0.1881111020789981
"Sulphur Springs, TX",2020,193277.41666666666,194312.5,24.833333333333332,29.416666666666668,79.75,0.9718246816203431,0.19902108222238712
"Sulphur Springs, TX",2021,226679.16666666666,226816.66666666666,28.916666666666668,32.583333333333336,56.666666666666664,0.9821784324518079,0.29861207234604464
"Summerville, GA",2012,55805.75,95058.33333333333,9.25,10.0,69.5,0.8809190688686899,0.07254782254782254
"Summerville, GA",2013,67424.04166666667,127545.83333333333,8.333333333333334,9.583333333333334,64.83333333333333,0.8835390056464334,0.10801767676767676
"Summerville, GA",2014,66886.54166666667,99204.16666666667,7.833333333333333,11.5,79.16666666666667,0.9010713923881671,0.1266865079365079
"Summerville, GA",2015,78029.16666666667,92462.45833333333,9.75,11.25,70.25,0.9143582452991246,0.09678861443567323
"Summerville, GA",2016,90549.16666666667,95958.29166666667,12.0,14.25,71.91666666666667,0.908585878836404,0.09305983368483367
"Summerville, GA",2017,85560.33333333333,103462.33333333333,11.583333333333334,11.0,62.25,0.9321148189935324,0.15081827894327893
"Summerville, GA",2018,110312.5,122083.29166666667,12.666666666666666,13.0,61.416666666666664,0.9539251643939414,0.15124272513978396
"Summerville, GA",2019,113908.33333333333,117704.16666666667,12.416666666666666,16.416666666666668,68.5,0.9415135665183033,0.12949036938007527
"Summerville, GA",2020,122408.33333333333,118525.0,15.166666666666666,14.416666666666666,54.75,0.9452888667916444,0.1863700025464731
"Summerville, GA",2021,149091.66666666666,178649.95833333334,16.916666666666668,19.833333333333332,34.416666666666664,0.9653935727476052,0.30951187293099053
"Sumter, SC",2012,427550.0,,1.0,,4.5,0.7961724149432954,0.0
"Sumter, SC",2013,221250.0,290275.0,1.4,2.75,10.2,0.8660219952675984,0.0
"Sumter, SC",2014,209547.22222222222,243228.57142857142,1.2222222222222223,2.0,15.5,0.9064238290502894,0.05555555555555555
"Sumter, SC",2015,220358.33333333334,265400.0,2.6666666666666665,2.4,18.8,0.9574148541544133,0.0
"Sumter, SC",2016,187803.84615384616,221247.33333333334,2.1538461538461537,4.333333333333333,22.46153846153846,0.9233378804341354,0.11538461538461539
"Sumter, SC",2017,222153.2142857143,223996.04166666666,2.9285714285714284,5.083333333333333,35.214285714285715,0.9198073288291553,0.0
"Sumter, SC",2018,214339.0,233117.85714285713,4.25,5.428571428571429,32.13333333333333,0.9738676972794608,0.13392857142857142
"Sumter, SC",2019,229415.33333333334,260148.57142857142,5.466666666666667,6.714285714285714,39.666666666666664,0.965463907593913,0.05277777777777778
"Sumter, SC",2020,257601.4705882353,236133.33333333334,6.588235294117647,7.066666666666666,28.235294117647058,0.945277967590349,0.04445842508126245
"Sumter, SC",2021,228658.69565217392,235685.45652173914,7.173913043478261,10.73913043478261,19.956521739130434,0.9743219514610432,0.24280140149705365
"Sweetwater, TX",2012,73504.28571428571,83670.0,1.5714285714285714,2.2,5.428571428571429,0.8997379962189039,0.0
