state,year,median_sale_price,median_list_price,homes_sold,new_listings,inventory,avg_sale_to_list,sold_above_list
Florida,2014,195258.3333,185891.6667,17468,21148.83333,82559.83333,0.963607541,0.156201098
Florida,2015,213908.3333,209375,19663.16667,23322.75,80399.25,0.967669368,0.159316801
Florida,2016,232066.6667,229150,21040.25,24843.5,82633.5,0.970640207,0.154313391
Florida,2017,251208.3333,243691.6667,21649.5,25244.41667,77955.08333,0.97003705,0.139514858
Florida,2018,267716.6667,257225,22112.58333,26926.5,80849.83333,0.970438354,0.136473748
Florida,2019,277283.3333,267291.6667,23268.66667,26807.58333,81974.16667,0.971602729,0.130568473
Florida,2020,306691.6667,291825,24391.58333,26711.91667,65484.5,0.976061611,0.164390236
Florida,2021,365616.6667,337275,28165.41667,29502.58333,41053.66667,0.99210102,0.331395727
Georgia,2012,126033.3333,136533.3333,6546.833333,7887,31081.5,0.967210839,0.232541565
Georgia,2013,167875,169650,7009.666667,9083.75,31792.33333,0.974136435,0.229662585
Georgia,2014,189575,184675,7147,9618.666667,35923.08333,0.967437163,0.169464677
Georgia,2015,202650,199650,8246.833333,10409.58333,38876.83333,0.967461138,0.15434577
Georgia,2016,213733.3333,213950,9191.666667,11076.5,38180.33333,0.972009331,0.17312273
Georgia,2017,223241.6667,228858.3333,9888.916667,11461.33333,35874.41667,0.975071437,0.18372364
Georgia,2018,237750,241725,10060.25,11723.33333,33273.91667,0.978043811,0.206353371
Georgia,2019,248150,253350,10400.5,12196.25,34267.83333,0.97756057,0.192537366
Georgia,2020,275158.3333,274466.6667,11200.41667,11602.16667,26349.75,0.983850385,0.245511576
Georgia,2021,326475,317241.6667,11455.16667,11916.33333,15210.08333,1.002490052,0.447882764
Hawaii,2012,483433.3333,415800,459.6666667,526.25,3180.5,0.961361421,0.162726935
Hawaii,2013,515441.6667,456575,514.4166667,592.4166667,2964.333333,0.971618811,0.204724998
Hawaii,2014,545958.3333,472975,530.8333333,636.3333333,3230.083333,0.972234456,0.18642285
Hawaii,2015,567058.3333,502058.3333,573,680.75,3293.583333,0.972131808,0.182860059
Hawaii,2016,590491.6667,531475,619.5,685.5833333,3274.75,0.975090857,0.206091504
Hawaii,2017,615250,549433.3333,654.4166667,715.75,3045.5,0.975599774,0.208679646
Hawaii,2018,643558.3333,564341.6667,622.4166667,718.3333333,3017,0.975547081,0.193997506
Hawaii,2019,651075,571716.6667,636.5833333,766.4166667,3222.333333,0.974107662,0.155215158
Hawaii,2020,686025,591091.6667,642.0833333,658.1666667,2618.166667,0.977922415,0.213794486
Hawaii,2021,825158.3333,668900,775.4166667,727.75,1904.583333,1.004299931,0.428094379
Idaho,2012,145100,160075,1302.083333,1333.916667,7171.916667,0.979153042,0.217209449
Idaho,2013,167675,178625,1470,1605.083333,7701.916667,0.981541263,0.209001591
Idaho,2014,178200,193058.3333,1508.083333,1638.25,8710,0.979452541,0.174782538
Idaho,2015,192816.6667,205500,1755.416667,1799.75,7972.25,0.982545135,0.198837839
Idaho,2016,209525,222083.3333,1947.333333,1913.666667,7176.75,0.987004631,0.228040062
Idaho,2017,229100,245658.3333,1994.333333,2024.25,6685.333333,0.988773235,0.240577544
Idaho,2018,264558.3333,279808.3333,2084.166667,2103.666667,6079.083333,0.99068241,0.251404569
Idaho,2019,294041.6667,307733.3333,2258.25,2464,5480,0.991613456,0.237127116
Idaho,2020,340208.3333,355850,2479.25,2330.416667,4159.75,0.997151308,0.297914292
Idaho,2021,446616.6667,466591.6667,2270.916667,2353.75,3131.25,1.006713222,0.376028236
Illinois,2012,169491.6667,163358.3333,5334,7669.166667,32207.66667,0.952581059,0.163896465
Illinois,2013,184583.3333,184891.6667,6572.583333,8611.416667,28028.91667,0.966825896,0.207591131
Illinois,2014,189691.6667,197966.6667,6716.916667,9383.083333,32872.41667,0.964368578,0.174687917
Illinois,2015,200216.6667,207900,7302.833333,9779.75,34264.16667,0.963055153,0.16051498
Illinois,2016,213941.6667,217983.3333,7646.666667,9832.333333,32306.25,0.967108514,0.170080161
Illinois,2017,226425,227966.6667,7679.916667,9713.083333,28995.58333,0.969469404,0.181469321
Illinois,2018,234525,234833.3333,7462.083333,9668.833333,28012.58333,0.970641332,0.186246098
Illinois,2019,239608.3333,240491.6667,7296.75,9533.416667,28543.75,0.969932389,0.178930502
Illinois,2020,260425,256625,8192.333333,9001,19222.16667,0.975650802,0.224842632
Illinois,2021,294066.6667,269283.3333,8823,9508.333333,12427.91667,0.995098026,0.407218543
Indiana,2012,127033.3333,129016.6667,2246.833333,3000.583333,15062.66667,0.951618472,0.092878339
Indiana,2013,135183.3333,139275,2855.25,3484.583333,15034.58333,0.957185991,0.097960909
Indiana,2014,145225,146850,2753.083333,3442.583333,14229.08333,0.960559222,0.087057457
Indiana,2015,151975,153041.6667,2988.833333,3595.333333,11861.66667,0.962139102,0.085454066
Indiana,2016,158675,163066.6667,3181.416667,3529.083333,10139.16667,0.967282921,0.111454547
Indiana,2017,169416.6667,173558.3333,3277.583333,3575.5,8453.75,0.972453185,0.147686439
Indiana,2018,183783.3333,186450,3301.083333,3684.333333,7052.75,0.976307245,0.179703412
Indiana,2019,196641.6667,199441.6667,3290.083333,3646.416667,6897.25,0.976048319,0.171537977
Indiana,2020,216641.6667,215366.6667,3535.083333,3642.25,4996.916667,0.983260787,0.242863069
Indiana,2021,244675,238666.6667,3634.916667,3809.666667,3276.833333,1.002662484,0.419669836
Iowa,2012,143158.3333,142875,733.8333333,996.4166667,4829,0.959043328,0.145013466
Iowa,2013,158200,151408.3333,856.6666667,1089.583333,5044.083333,0.96677625,0.175612385
Iowa,2014,159750,155141.6667,861.25,1066.083333,4905.166667,0.96778785,0.177793917
Iowa,2015,173125,170208.3333,971.6666667,1154.916667,4640.916667,0.973557379,0.19210015
Iowa,2016,180133.3333,179400,1026.916667,1161.5,4399.916667,0.978784329,0.231722813
Iowa,2017,190491.6667,189850,1075.083333,1210.5,4279,0.982434781,0.251573042
Iowa,2018,199991.6667,198375,1036.5,1188.833333,3481.583333,0.982361408,0.236367426
Iowa,2019,209191.6667,205491.6667,1045.5,1198,3242.833333,0.979426181,0.197539057
Iowa,2020,222366.6667,224341.6667,1207.916667,1245.916667,2507.666667,0.984866046,0.249212334
Iowa,2021,250416.6667,242225,1236.75,1300.75,1714.916667,0.996238337,0.378889805
Kansas,2012,178558.3333,174375,918.1666667,1187.166667,301.1666667,0.922926384,0.08854547
Kansas,2013,191858.3333,183833.3333,1037.416667,1284.666667,307.1666667,0.934389365,0.145675656
Kansas,2014,196333.3333,195183.3333,1019.583333,1252.916667,255.8333333,0.941601647,0.095672424
Kansas,2015,210725,207808.3333,1121,1299.666667,239.4166667,0.943714596,0.120684508
Kansas,2016,225533.3333,223008.3333,1168.833333,1302.75,200.9166667,0.946948503,0.124556981
Kansas,2017,240191.6667,236966.6667,1176.5,1313.75,162,0.951931786,0.149096181
Kansas,2018,253500,251175,1168.5,1335,159.25,0.957115751,0.171517396
Kansas,2019,266558.3333,264141.6667,1172.833333,1309,136.3333333,0.958469919,0.172640943
Kansas,2020,294275,289508.3333,1251.083333,1305.5,92.33333333,0.966532857,0.208805393
Kansas,2021,326958.3333,309800,1257.083333,1306.583333,62,0.973790957,0.322770308
Kentucky,2012,139966.6667,140500,1943.833333,2800.75,13747.33333,0.949691985,0.101454276
Kentucky,2013,143058.3333,141966.6667,2259.25,3086.583333,13587.5,0.956429526,0.115348385
Kentucky,2014,144841.6667,149158.3333,2229.333333,3015.25,12998,0.95864943,0.106325954
Kentucky,2015,154500,156116.6667,2468.75,3083.25,10629.16667,0.96268447,0.118915087
Kentucky,2016,162916.6667,163500,2695.083333,3153.416667,8990,0.969157269,0.151013771
Kentucky,2017,171550,174108.3333,2741.416667,3183.333333,8287.75,0.972214293,0.171463671
Kentucky,2018,182250,184125,2695.583333,3175.916667,7929,0.973761039,0.183678129
Kentucky,2019,192191.6667,193216.6667,2750,3190.333333,7629.083333,0.973933978,0.173074215
Kentucky,2020,210933.3333,211225,2933.916667,3117.416667,4972.75,0.980957343,0.227854147
Kentucky,2021,235041.6667,229366.6667,2999.916667,3147,3783.25,0.992057347,0.335675271
Louisiana,2012,167666.6667,168525,1366.166667,1414.333333,8676,0.957155837,0.116925036
Louisiana,2013,175491.6667,178241.6667,1594,1653.25,9058.833333,0.961183598,0.138564615
Louisiana,2014,179650,186716.6667,1674.833333,1738.833333,9284.75,0.96567688,0.134341322
Louisiana,2015,191066.6667,198758.3333,1820.166667,1912.583333,8978.75,0.970328233,0.131316913
Louisiana,2016,195600,204225,1916.583333,2033.833333,8014.666667,0.970218898,0.134909742
Louisiana,2017,202483.3333,212258.3333,1974.833333,2132,7995.166667,0.97079601,0.132819127
Louisiana,2018,213141.6667,220050,1966.75,2193,8536.333333,0.971028043,0.127052271
Louisiana,2019,221733.3333,227041.6667,1981.5,2412,7589.083333,0.974349727,0.137006423
Louisiana,2020,238516.6667,244691.6667,2197.083333,2339,5830.166667,0.97836232,0.158570705
Louisiana,2021,259500,260616.6667,2392.916667,2378.916667,3713.083333,0.986064356,0.255341735
Maine,2012,128380,157166.6667,38.7,3.555555556,20.5,0.923845745,0.090370823
Maine,2013,143616.6667,269916.6667,330.75,5.333333333,30.75,0.926674143,0.068240857
Maine,2014,141075,236050,368.75,5.25,33.75,0.927557029,0.077028416
Maine,2015,137375,170241.6667,453.1666667,1312.333333,6420.583333,0.929943196,0.077427219
Maine,2016,175491.6667,187841.6667,1179.25,1410.333333,7415.333333,0.94931987,0.141434642
Maine,2017,201883.3333,210458.3333,1396.916667,1697.166667,6575.166667,0.964426433,0.190174591
Maine,2018,216300,219108.3333,1413.083333,1756,5707.416667,0.96784201,0.211079074
Maine,2019,226083.3333,231108.3333,1440.083333,1746.083333,5778.75,0.969394832,0.226106721
Maine,2020,251566.6667,258550,1575.916667,1581,3550.416667,0.981955483,0.313713232
Maine,2021,296975,290825,1609.916667,1471.416667,2043.75,1.009347268,0.462216481
Maryland,2012,299000,262708.3333,2914.666667,3995.083333,15990,0.967887396,0.160552023
Maryland,2013,318608.3333,275675,3183.333333,4495.25,15340.08333,0.977083862,0.202093429
Maryland,2014,320091.6667,275791.6667,3278.916667,4845.583333,17488.41667,0.976718051,0.190636881
Maryland,2015,313883.3333,280775,3821.083333,5247.75,18092.25,0.977655628,0.201044326
Maryland,2016,323100,289083.3333,4198.583333,5157,15948.5,0.981666131,0.218039914
Maryland,2017,340933.3333,302266.6667,4289.166667,5191.75,13887,0.985165365,0.233442006
Maryland,2018,356166.6667,312683.3333,4149,5109.833333,12942.91667,0.98641361,0.242711798
Maryland,2019,367241.6667,323566.6667,4273.333333,5088.083333,13470.41667,0.986904715,0.24349672
Maryland,2020,399700,348950,4657.833333,4799.666667,8698.166667,0.994162441,0.307979269
Maryland,2021,448083.3333,376041.6667,4905.583333,5132.75,6217.083333,1.01113709,0.455363514
Massachusetts,2012,315983.3333,313050,3351.583333,4452.75,22001.66667,0.960902023,0.14531255
Massachusetts,2013,340508.3333,334866.6667,3616.833333,4704.25,19850.91667,0.97222868,0.206105237
Massachusetts,2014,357850,348358.3333,3508.75,4740.833333,20177,0.974743339,0.207765192
Massachusetts,2015,370508.3333,360225,3827.166667,5016.75,14350.66667,0.978711296,0.23559655
Massachusetts,2016,384000,382241.6667,4129.5,4891.916667,11691.83333,0.983586271,0.28546085
Massachusetts,2017,410316.6667,405575,4100.416667,4783.75,9678.666667,0.989893149,0.336171925
Massachusetts,2018,432333.3333,428783.3333,3984,4873.5,9570.583333,0.991965976,0.352082661
Massachusetts,2019,449158.3333,449158.3333,4014,4709.833333,10087.5,0.989378394,0.333269565
Massachusetts,2020,497600,487783.3333,4119.5,4468.583333,6911.333333,1.001471322,0.451263972
Massachusetts,2021,548158.3333,504466.6667,4423.666667,4749.916667,4944.25,1.036149841,0.663817118
Michigan,2012,101983.3333,107283.3333,6363.833333,7497.916667,31418,0.95771642,0.20918873
Michigan,2013,122133.3333,124816.6667,6908.25,8053.833333,30194.33333,0.965180159,0.215219504
Michigan,2014,121600,124016.6667,8258.083333,10236.25,36626.5,0.962242987,0.178316386
Michigan,2015,134266.6667,134925,9059.666667,11478.41667,37614.33333,0.964758942,0.180318357
Michigan,2016,151800,153541.6667,9235.25,10896.08333,30127.08333,0.969247459,0.216291122
Michigan,2017,164216.6667,169033.3333,9389.916667,11515.33333,27481.08333,0.975142217,0.249822789
Michigan,2018,179791.6667,179908.3333,10757.83333,12555.83333,27410.5,0.976198278,0.265840296
Michigan,2019,185133.3333,186416.6667,9050.083333,10846.66667,24813.58333,0.97561498,0.24775208
