SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,NPOPCHG_2020,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018,PPOPCHG_2019,PPOPCHG_2020,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_POPEST2018,NRANK_POPEST2019,NRANK_POPEST2020,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_NPCHG2018,NRANK_NPCHG2019,NRANK_NPCHG2020,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017,NRANK_PPCHG2018,NRANK_PPCHG2019,NRANK_PPCHG2020
40,3,5,13,Georgia,9688737,9712209,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10710017,10799566,23472,91421,99950,72012,95612,112149,125089,108589,102358,108631,81997,0.242260679,0.94129976,1.019520321,0.727130997,0.958459408,1.113561,1.228367513,1.053398758,0.982602433,1.032674046,0.771517178,9,9,9,8,8,8,8,8,8,8,8,8,5,5,4,7,5,4,5,6,5,5,5,16,12,15,23,14,13,13,15,12,11,14
40,4,9,15,Hawaii,1360304,1364004,1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1407006,1441553,3700,15558,15637,13623,6513,7664,5886,-3122,-2661,-7487,-8609,0.271998024,1.140612491,1.133475697,0.976419851,0.462301128,0.541497243,0.41363346,-0.218492041,-0.18663691,-0.526104243,-0.608145576,40,40,40,40,40,40,40,40,40,40,40,40,33,28,28,32,41,35,36,45,45,46,41,11,8,12,15,28,25,26,48,45,50,49
40,4,8,16,Idaho,1567658,1570819,1584272,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1826913,1900923,3161,13453,11638,16143,20195,20247,31541,35709,32329,36986,37853,0.201638368,0.856432218,0.73459608,1.011523206,1.252750375,1.240436502,1.908689588,2.120441606,1.879871725,2.110983897,2.11580383,39,39,39,39,39,39,39,39,39,39,39,38,37,33,36,29,22,20,16,17,17,13,12,23,18,24,11,11,12,3,1,2,1,1
40,2,3,17,Illinois,12831572,12840545,12867783,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12587530,12671469,8973,27238,15246,12749,-10686,-25507,-37876,-41816,-55208,-57668,-79487,0.069929078,0.212124953,0.118481948,0.098959647,-0.08286433,-0.197957453,-0.294535166,-0.326134371,-0.431991097,-0.453197859,-0.627511592,5,5,5,5,5,5,5,5,6,6,6,6,18,22,30,33,51,51,51,50,51,50,50,42,45,46,45,48,49,50,49,49,49,50
40,2,3,18,Indiana,6484050,6490555,6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6754953,6805985,6505,26695,21739,31586,25444,15423,26456,24170,36413,32529,23943,0.100323101,0.411289944,0.333560934,0.483041033,0.387241604,0.233822856,0.400154762,0.364121293,0.546572025,0.48561756,0.355711847,15,15,15,16,16,16,16,17,17,17,17,17,25,23,22,19,20,24,18,19,15,15,15,38,34,36,31,30,35,28,25,19,20,22
40,2,4,19,Iowa,3046877,3050819,3066772,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3163561,3193079,3942,15953,10072,17091,16708,11898,10669,10524,6166,9696,3965,0.129378377,0.522908767,0.328423502,0.555471776,0.540024273,0.382493266,0.341676859,0.335885562,0.196136187,0.307819296,0.125490727,30,30,30,30,30,30,30,30,30,31,31,31,31,27,38,26,25,28,30,29,33,23,31,34,31,37,29,26,29,29,28,34,27,32
40,2,4,20,Kansas,2853120,2858266,2869677,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2913805,2934582,5146,11411,16347,8282,7555,8856,2260,-2085,1856,-113,1170,0.180363952,0.399228063,0.569645992,0.286969201,0.26102976,0.305183467,0.077644099,-0.07157626,0.063760524,-0.003879498,0.040169812,33,33,33,33,34,34,34,35,35,35,35,35,29,34,27,40,38,33,41,44,40,38,34,25,35,29,35,34,31,41,42,39,38,34
40,3,6,21,Kentucky,4339330,4348464,4370817,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4477251,4509394,9134,22353,17048,19041,10086,12134,11180,15284,8683,8072,4906,0.210493325,0.51404358,0.390041496,0.433946806,0.228868054,0.27471184,0.252420003,0.344210512,0.194878793,0.180813315,0.109696367,26,26,26,26,26,26,26,26,26,26,26,26,17,24,24,24,33,26,29,24,28,28,28,21,33,32,32,37,32,33,27,35,34,33
40,3,7,22,Louisiana,4533500,4544635,4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4645318,4624047,11135,31609,25823,23973,19898,21060,14348,-7673,-9223,-6165,-12967,0.24561597,0.695523403,0.564283723,0.520918101,0.430130306,0.453299205,0.307435315,-0.163905851,-0.197339437,-0.132169924,-0.278364248,25,25,25,25,25,25,25,25,25,25,25,25,14,19,20,22,23,19,25,48,48,45,46,14,25,30,30,29,28,31,45,46,44,45
40,1,1,23,Maine,1328354,1327651,1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1350141,1372247,-703,822,-379,449,2674,-2119,3250,3395,4380,5647,4371,-0.05292264,0.061913861,-0.028528995,0.033807848,0.201273124,-0.159177655,0.244526739,0.254813307,0.327907389,0.421379232,0.32479547,41,41,41,41,41,42,42,42,42,42,42,42,50,50,50,49,42,47,39,37,36,33,30,50,48,50,49,38,48,35,31,24,24,23
40,3,5,24,Maryland,5773787,5788784,5840241,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6055802,6165129,14997,51457,48134,36822,34867,28464,18486,21172,13967,12801,848,0.259742869,0.888908621,0.824178317,0.625333815,0.588453008,0.477578764,0.308690216,0.352454647,0.231694908,0.211861567,0.014005061,19,19,19,19,19,19,19,19,19,19,19,19,12,11,13,16,17,18,20,21,23,22,35,13,15,20,27,25,27,30,26,33,32,35
